casp_year,set,target_id,n_chains,n_unique_seqs,n_ligand_entities,n_ligand_copies,primary_ccd
15,,H1114,20,3,5,56,3NI
15,,H1135,12,2,2,12,CL
15,,H1171v1,9,6,3,11,AGS
15,,H1171v2,9,6,3,9,AGS
15,,H1172v1,10,7,3,9,AGS
15,,H1172v2,10,7,3,9,ADP
15,,H1172v3,10,7,3,8,ADP
15,,H1172v4,10,7,3,9,ADP
15,,R1117,1,1,1,1,PRF
15,,R1117v2,1,1,1,1,PRF
15,,R1126,1,1,1,1,K
15,,R1136v1,1,1,3,3,J93
15,,T1118v1,1,1,2,5,LIG
15,,T1124,2,2,1,2,SAH
15,,T1127,2,2,3,5,EPE
15,,T1127v2,2,2,3,5,EPE
15,,T1146,1,1,1,1,NAG
15,,T1152,2,1,1,3,NAG
15,,T1158v1,1,1,1,1,XPG
15,,T1158v2,1,1,1,1,P2E
15,,T1158v3,1,1,1,1,XH0
15,,T1158v4,1,1,2,4,ATP
15,,T1170,8,5,3,10,AGS
15,,T1181,3,1,4,14,ZN
15,,T1186,1,1,1,1,LIG
15,,T1187,2,1,1,6,NAG
15,,T1188,1,1,3,5,CO
16,L1000,L1001,1,1,1,1,
16,L1000,L1002,1,1,1,1,
16,L1000,L1003,1,1,1,1,
16,L1000,L1004,1,1,1,1,
16,L1000,L1005,1,1,1,1,
16,L1000,L1006,1,1,1,1,
16,L1000,L1007,1,1,1,1,
16,L1000,L1008,1,1,1,1,
16,L1000,L1009,1,1,1,1,
16,L1000,L1010,1,1,1,1,
16,L1000,L1011,1,1,1,1,
16,L1000,L1012,1,1,1,1,
16,L1000,L1013,1,1,1,1,
16,L1000,L1014,1,1,1,1,
16,L1000,L1015,1,1,1,1,
16,L1000,L1016,1,1,1,1,
16,L1000,L1017,1,1,1,1,
16,L2000,L2001,2,2,1,1,
16,L2000,L2002,1,1,1,1,
16,L3000,L3001,1,1,1,1,
16,L3000,L3002,1,1,1,1,
16,L3000,L3003,1,1,1,1,
16,L3000,L3004,1,1,1,1,
16,L3000,L3005,1,1,1,1,
16,L3000,L3006,1,1,1,1,
16,L3000,L3007,1,1,1,1,
16,L3000,L3008,1,1,1,1,
16,L3000,L3009,1,1,1,1,
16,L3000,L3010,1,1,1,1,
16,L3000,L3011,1,1,1,1,
16,L3000,L3012,1,1,1,1,
16,L3000,L3013,1,1,1,1,
16,L3000,L3014,1,1,1,1,
16,L3000,L3017,1,1,1,1,
16,L3000,L3019,1,1,1,1,
16,L3000,L3021,1,1,1,1,
16,L3000,L3022,1,1,1,1,
16,L3000,L3023,1,1,1,1,
16,L3000,L3024,1,1,1,1,
16,L3000,L3025,1,1,1,1,
16,L3000,L3026,1,1,1,1,
16,L3000,L3027,1,1,1,1,
16,L3000,L3028,1,1,1,1,
16,L3000,L3029,1,1,1,1,
16,L3000,L3030,1,1,1,1,
16,L3000,L3031,1,1,1,1,
